City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,la libertad,-2.2333,-80.9,293.9,84,100,4.42,EC,1726456950
215,valle hermoso,25.6667,-97.8333,301.58,75,100,2.68,MX,1726456824
216,ibarreta,-25.2144,-59.8585,288.92,51,0,2.38,AR,1726457066
217,daru,-9.0763,143.2092,298.54,89,100,7.03,PG,1726457067
218,tofol,5.3248,163.0078,304.03,79,75,2.57,FM,1726457068
219,bila tserkva,49.8094,30.1121,292.2,35,100,8.58,UA,1726457069
220,altrip,49.4356,8.4947,284.39,89,75,1.54,DE,1726457070
221,codrington,-38.2667,141.9667,285.26,76,100,7.89,AU,1726457072
222,gizo,-8.103,156.8419,301.41,76,30,1.43,SB,1726457074
223,vytegra,61.0064,36.4481,286.85,74,27,2.18,RU,1726457075
224,olyokminsk,60.3736,120.4264,281.18,50,97,4.23,RU,1726457076
225,kermit,31.8576,-103.0927,300.06,32,0,4.63,US,1726457077
226,howard springs,-12.497,131.047,307.58,56,93,2.08,AU,1726457078
227,i-n-salah,27.1935,2.4607,306.14,18,0,3.99,DZ,1726457079
228,den burg,53.0542,4.7972,289.14,88,100,0.51,NL,1726457080
229,vadso,70.0744,29.7487,283.24,93,75,3.09,NO,1726457081
230,tadine,-21.55,167.8833,295.58,55,17,6.8,NC,1726457082
231,chonchi,-42.6128,-73.8092,276.57,96,10,1.11,CL,1726457083
232,alappuzha,9.49,76.3264,300.1,83,53,2.89,IN,1726457084
233,muranovo,56.1833,37.9,285.5,67,9,1.96,RU,1726457085
234,floro,61.5996,5.0328,283.13,93,11,2.06,NO,1726456959
235,kuqa,41.7278,82.9364,297.19,28,45,2.87,CN,1726457087
236,lihue,21.9789,-159.3672,300.92,71,75,6.69,US,1726457088
237,durbuy,50.35,5.4667,285.43,88,100,0.8,BE,1726457089
238,key west,24.5557,-81.7826,304.15,84,0,2.06,US,1726456818
239,hami,42.8,93.45,295.91,18,2,1.28,CN,1726457091
240,uaua,-9.8414,-39.4817,293.83,77,0,6.74,BR,1726457093
241,dryden,49.7833,-92.7503,295.31,83,75,3.6,CA,1726457094
242,kegen,43.0197,79.2203,286.77,46,4,1.66,KZ,1726457095
243,alindao,5.0267,21.2088,293.6,98,100,1.46,CF,1726457096
244,karratha,-20.7377,116.8463,303.34,16,1,10.03,AU,1726457097
245,petauke,-14.2426,31.3253,292.59,40,1,1.82,ZM,1726457098
246,hegang,47.4,130.3667,290.31,51,100,2.75,CN,1726457099
247,nova sintra,14.8667,-24.7167,299.51,80,92,4.75,CV,1726457101
248,port douglas,-16.4833,145.4667,296.77,79,99,8.08,AU,1726457102
249,vorgashor,67.5833,63.95,286.12,97,99,4.54,RU,1726457103
250,jardim do serido,-6.5844,-36.7744,296.13,68,0,10.27,BR,1726457104
251,chelno-vershiny,54.4333,51.1,286.16,79,0,3.0,RU,1726457105
252,fale old settlement,-9.3852,-171.2468,301.4,77,100,4.88,TK,1726457106
253,tuy hoa,13.0833,109.3,303.9,63,97,6.8,VN,1726457107
254,dakhla,23.6848,-15.958,292.86,92,0,6.57,EH,1726457110
255,oriximina,-1.7656,-55.8661,300.59,53,0,2.0,BR,1726457111
256,anaco,9.4389,-64.4728,301.25,65,96,2.13,VE,1726456843
257,golyshmanovo,56.3979,68.3728,279.9,69,2,3.02,RU,1726457113
258,ciudad lazaro cardenas,17.9583,-102.2,301.08,83,100,0.68,MX,1726457114
259,dunedin,-45.8742,170.5036,281.4,72,29,0.53,NZ,1726457115
260,mzuzu,-11.4656,34.0207,288.7,52,0,1.37,MW,1726457116
261,ploneour-lanvern,47.9,-4.2833,285.33,82,0,2.06,FR,1726457118
262,kayangel,8.0823,134.7173,301.93,78,100,11.5,PW,1726457053
263,riviere-du-loup,47.8304,-69.5342,293.3,77,99,2.06,CA,1726457120
264,kuandian,40.7286,124.7847,292.87,88,100,1.1,CN,1726457121
265,lagos,6.5833,3.75,297.32,94,92,2.46,NG,1726456599
266,flagstaff,35.1981,-111.6513,291.49,41,0,4.12,US,1726456892
267,mejit,10.2753,170.8646,301.35,75,100,3.16,MH,1726457125
268,urupes,-21.2017,-49.29,293.91,48,4,4.43,BR,1726457127
269,tarrafal de sao nicolau,16.5667,-24.3667,298.57,72,37,2.32,CV,1726457128
270,bredasdorp,-34.5322,20.0403,283.98,70,78,1.85,ZA,1726457129
271,twentynine palms,34.1356,-116.0542,301.23,38,0,3.83,US,1726456934
272,utrik,11.2278,169.8474,301.86,75,100,4.14,MH,1726456872
273,geraldton,-28.7667,114.6,296.38,33,0,8.75,AU,1726457132
274,gambiran satu,-8.3939,114.1464,304.27,42,99,3.35,ID,1726457133
275,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,41,75,9.0,RU,1726456898
276,solleftea,63.1667,17.2667,276.07,92,19,1.76,SE,1726457135
